Indicateurs État


Date de l'export;04/05/2026
Année de la dernière période à valider;2026


Nom Association;Code Association;BA;T1 2026 - Statut;T1 2026 - Volumes distribué en Kg net- Valeurs calculées;T1 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T1 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T1 2026 - Nb foyers - Valeurs calculées;T1 2026 - Nb foyers - Valeurs retenues Asso;T1 2026 - Nb foyers - Valeurs retenues BA;T1 2026 - Nb bénéficiaires - Valeurs calculées;T1 2026 - Nb bénéficiaires - Valeurs retenues Asso;T1 2026 - Nb bénéficiaires - Valeurs retenues BA;T1 2026 - Nb passages - Valeurs calculées;T1 2026 - Nb passages - Valeurs retenues Asso;T1 2026 - Nb passages - Valeurs retenues BA;T1 2026 - Motif écart Asso;T1 2026 - Motif écart BA;T1 2026 - Dernière modification BA;T2 2026 - Statut;T2 2026 - Volumes distribué en Kg net- Valeurs calculées;T2 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T2 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T2 2026 - Nb foyers - Valeurs calculées;T2 2026 - Nb foyers - Valeurs retenues Asso;T2 2026 - Nb foyers - Valeurs retenues BA;T2 2026 - Nb bénéficiaires - Valeurs calculées;T2 2026 - Nb bénéficiaires - Valeurs retenues Asso;T2 2026 - Nb bénéficiaires - Valeurs retenues BA;T2 2026 - Nb passages - Valeurs calculées;T2 2026 - Nb passages - Valeurs retenues Asso;T2 2026 - Nb passages - Valeurs retenues BA;T2 2026 - Motif écart Asso;T2 2026 - Motif écart BA;T2 2026 - Dernière modification BA;T3 2026 - Statut;T3 2026 - Volumes distribué en Kg net- Valeurs calculées;T3 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T3 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T3 2026 - Nb foyers - Valeurs calculées;T3 2026 - Nb foyers - Valeurs retenues Asso;T3 2026 - Nb foyers - Valeurs retenues BA;T3 2026 - Nb bénéficiaires - Valeurs calculées;T3 2026 - Nb bénéficiaires - Valeurs retenues Asso;T3 2026 - Nb bénéficiaires - Valeurs retenues BA;T3 2026 - Nb passages - Valeurs calculées;T3 2026 - Nb passages - Valeurs retenues Asso;T3 2026 - Nb passages - Valeurs retenues BA;T3 2026 - Motif écart Asso;T3 2026 - Motif écart BA;T3 2026 - Dernière modification BA;T4 2026 - Statut;T4 2026 - Volumes distribué en Kg net- Valeurs calculées;T4 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T4 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T4 2026 - Nb foyers - Valeurs calculées;T4 2026 - Nb foyers - Valeurs retenues Asso;T4 2026 - Nb foyers - Valeurs retenues BA;T4 2026 - Nb bénéficiaires - Valeurs calculées;T4 2026 - Nb bénéficiaires - Valeurs retenues Asso;T4 2026 - Nb bénéficiaires - Valeurs retenues BA;T4 2026 - Nb passages - Valeurs calculées;T4 2026 - Nb passages - Valeurs retenues Asso;T4 2026 - Nb passages - Valeurs retenues BA;T4 2026 - Motif écart Asso;T4 2026 - Motif écart BA;T4 2026 - Dernière modification BA;Année 2026 - Statut;Année 2026 - Volumes distribué en Kg net- Valeurs calculées;Année 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;Année 2026 - Volumes distribué en Kg net - Valeurs retenues BA;Année 2026 - Nb foyers - Valeurs calculées;Année 2026 - Nb foyers - Valeurs retenues Asso;Année 2026 - Nb foyers - Valeurs retenues BA;Année 2026 - Nb bénéficiaires - Valeurs calculées;Année 2026 - Nb bénéficiaires - Valeurs retenues Asso;Année 2026 - Nb bénéficiaires - Valeurs retenues BA;Année 2026 - Nb passages - Valeurs calculées;Année 2026 - Nb passages - Valeurs retenues Asso;Année 2026 - Nb passages - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 0-3 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 0-3 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 0-3 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 4-14 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 4-14 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 4-14 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 15-25 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 15-25 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 15-25 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 26-64 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 26-64 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 26-64 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 65 ans ou plus - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 65 ans ou plus - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 65 ans ou plus - Valeurs retenues BA;Année 2026 - Bénéficiaires - sexe - masculin - Valeurs calculées;Année 2026 - Bénéficiaires - sexe - masculin - Valeurs retenues Asso;Année 2026 - Bénéficiaires - sexe - masculin - Valeurs retenues BA;Année 2026 - Bénéficiaires - sexe - féminin - Valeurs calculées;Année 2026 - Bénéficiaires - sexe - féminin - Valeurs retenues Asso;Année 2026 - Bénéficiaires - sexe - féminin - Valeurs retenues BA;Année 2026 - Motif écart Asso;Année 2026 - Motif écart BA;Année 2026 - Dernière modification BA
CHRS La Relève;01380053;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Centre Social du Roussillon;02380019;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Sté St Vincent de Paul;05380001;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Villard Bonnot;02380020;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Jeunes de Tout Pays;01380055;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
APF;01380056;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Maison Roger Rousset(Arepi);01380058;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Pont de Claix;02380021;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Roms Action;01380059;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Mairie Allevard;02380022;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Epicerie solidaire Dounia;01380060;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Ass Fam Protes du Grésivaudan;01380061;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Crets en Belledone;02380024;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Metissage;01380063;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Epicerie solidaire Monestier;01380064;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MEDECINS DU MONDE;15380001;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Epicerie Solidaire de Mens;01380066;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Mouvement Missionnaire Mondial;01380068;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Grace et Solidarité;01380070;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AREPI MIMOSAS VERLAINE;01380072;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Grenoble;02380026;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Réussir Ensemble;01380078;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Lans en Vercors;02380028;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CHRS l'Acceuil de Vienne;01380082;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Sourire en Or;01380083;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KOUADO;01380084;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AIDES;01380086;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS ENGINS;02380030;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ASISTTAH;01380093;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Madame Ruetabaga;01380096;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Solidarité Femmes Milena Seyss;01380102;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
VALDO VERCORS;01380105;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
VALDO ADN(Accueil de nuit);01380106;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BA38 urgence COVID19;01380108;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS St Martin d'Hères-Covid19;02380032;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS St Simeon de BressieuxC19;02380033;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GCSMS-Un chez soi d'abord;01380110;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Crous Grenoble Alpes -Covid 19;01380111;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Fontaine - Covid19;02380035;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Grenoble Alpes Métropole -Covi;01380112;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Papocorona Solidaire -Covi;01380114;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS SAINT ISMIER;02380036;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
